code,dividPreNoticeDate,dividAgmPumDate,dividPlanAnnounceDate,dividPlanDate,dividRegistDate,dividOperateDate,dividPayDate,dividStockMarketDate,dividCashPsBeforeTax,dividCashPsAfterTax,dividStocksPs,dividCashStock,dividReserveToStockPs
sh.601888,sh.601888,,2020-05-23,2020-04-23,2020-07-09,2020-07-15,2020-07-16,2020-07-16,,0.72,0.648或0.72,0.000000,10派7.2元（含税，扣税后6.48或7.2元）,
sh.601888,sh.601888,,2021-05-19,2021-04-22,2021-06-11,2021-06-21,2021-06-22,2021-06-22,,1,0.9或1,0.000000,10派10元（含税，扣税后9或10元）,
sh.601888,sh.601888,,2022-05-18,2022-04-23,2022-07-08,2022-07-14,2022-07-15,2022-07-15,,1.5,1.35或1.5,0.000000,10派15元（含税，扣税后13.5或15元）,
sh.601888,sh.601888,,2023-06-30,2023-03-31,2023-07-14,2023-07-20,2023-07-21,2023-07-21,,0.8,0.72或0.8,0.000000,10派8元（含税，扣税后7.2或8元）,
sh.601888,sh.601888,,2024-05-24,2024-03-28,2024-06-07,2024-06-13,2024-06-14,2024-06-14,,1.65,1.485或1.65,0.000000,10派16.5元（含税，扣税后14.85或16.5元）,
sh.601888,sh.601888,,2025-05-28,2025-03-29,2025-06-13,2025-06-19,2025-06-20,2025-06-20,,1.05,0.945或1.05,0.000000,10派10.5元（含税，扣税后9.45或10.5元）,
sh.601888,sh.601888,,2025-11-25,2025-10-31,2025-12-09,2025-12-15,2025-12-16,2025-12-16,,0.25,0.225或0.25,0.000000,10派2.5元（含税，扣税后2.25或2.5元）,
sh.600809,sh.600809,,2020-05-20,2020-04-28,2020-06-12,2020-06-18,2020-06-19,2020-06-19,,0.9,0.81或0.9,0.000000,10派9元（含税，扣税后8.1或9元）,
sh.600809,sh.600809,,2021-06-19,2021-04-27,2021-06-29,2021-07-02,2021-07-05,2021-07-05,2021-07-06,0.2,0.14或0.2,0.400000,10送4派2元（含税，扣税后1.4或2元）,
sh.600809,sh.600809,,2022-06-09,2022-04-28,2022-06-22,2022-06-27,2022-06-28,2022-06-28,,1.8,1.62或1.8,0.000000,10派18元（含税，扣税后16.2或18元）,
sh.600809,sh.600809,,2023-05-31,2023-04-28,2023-06-15,2023-06-21,2023-06-26,2023-06-26,,3.32,2.988或3.32,0.000000,10派33.2元（含税，扣税后29.88或33.2元）,
